lista_id,valor,definicion,fuente
raza,Mestiza,Población de ascendencia mezclada; en la región concentra más casos de tuberculosis.,02a
raza,Quechua,"Población nativa andina: la úlcera péptica es rara y la litiasis es más frecuente, sobre todo si procede del área rural.",09h
raza,Aymara,"Población nativa andina: la úlcera péptica es rara y la litiasis es más frecuente, sobre todo si procede del área rural.",09h
raza,Negra,Mayor frecuencia de anemia falciforme y de hipertensión arterial.,02a; 08a
estado_civil,Conviviente,Vive en pareja sin matrimonio civil (unión de hecho).,fuera de notas
estado_civil,Separado,"Casado que ya no vive con su cónyuge, sin divorcio legal.",fuera de notas
ocupacion,Agricultor,"Expuesto a insecticidas, que se asocian a anemia aplásica en el campesino y agravan el asma bronquial.",02a; 02b
ocupacion,Ganadero,El pastoreo de ganado expone al quiste hidatídico.,09h
ocupacion,Minero,"Exposición a polvo mineral: neumoconiosis, que a la larga puede complicarse con corazón pulmonar crónico.",02a; 08a
ocupacion,Construcción civil,"Trabajo manual pesado, asociado a enfermedad degenerativa de la columna.",02b
ocupacion,Docente,Trabajo intelectual: se asocia a mayor secreción de ácido clorhídrico y a úlcera péptica.,09h
ocupacion,Profesional independiente,Ejerce su profesión por cuenta propia; el trabajo intelectual se asocia a úlcera péptica.,09h
religion,Testigo de Jehová,Suele rechazar las transfusiones sanguíneas; condiciona decisiones médicas.,02a
informante,"Directo, el propio paciente",Anamnesis directa: la información la da el propio paciente.,02a
informante,"Indirecto, familiar o acompañante","Anamnesis indirecta: la da un informante cuando el paciente no puede relatar (coma, niño, enfermo mental o imposibilitado de hablar).",02a
informante,Mixto,Parte de la información la da el paciente y parte un familiar o acompañante.,fuera de notas
apetito,Disminuido (hiporexia),Apetito disminuido sin llegar a perderse del todo.,fuera de notas
apetito,Ausente (anorexia),"Falta total de apetito; acompaña al síndrome febril, a la insuficiencia renal y a la congestión visceral del cardiópata.",01; 10a; 08a2
apetito,Aumentado (hiperorexia),"Apetito aumentado; si se pierde peso pese a comer más, orienta a hipertiroidismo.",13a
sed,Aumentada (polidipsia),Sed excesiva; junto con polifagia y poliuria orienta a una causa endocrina.,02c
sueno,No reparador,"Duerme pero despierta cansado, sin sensación de descanso.",fuera de notas
sueno,Insomnio de conciliación,Dificultad para quedarse dormido al acostarse.,fuera de notas
sueno,Insomnio de mantenimiento,Despierta durante la noche y le cuesta volver a dormir; la nicturia del cardiópata interrumpe así el sueño.,08a2
sueno,Hipersomnia,Sueño excesivo o somnolencia durante el día.,fuera de notas
heces_car,Diarrea,"Deposiciones de menor consistencia o más líquidas, generalmente más frecuentes; aguda si dura menos de un mes.",09a
heces_car,Estreñimiento,"Evacuación difícil con heces duras, o espontánea cada 3 días o más, o que requiere laxantes.",09a
heces_car,Melena,"Heces negras como brea por sangre alterada; indica hemorragia digestiva alta, por encima del ángulo de Treitz.",09a
heces_car,Hematoquecia,"Sangre roja viva y escasa por el ano, de origen proctológico; casi siempre hemorragia digestiva baja.",09e
heces_car,Con moco,Moco en las heces; con pus o sangre es propio de la diarrea baja o colónica.,09a
heces_car,Con restos alimentarios,Alimentos sin digerir visibles (diarrea lientérica); traduce tránsito intestinal acelerado.,09a
heces_car,Acolia,Heces blanquecinas como masilla de vidriero; indica obstrucción completa de la vía biliar.,09a
heces_car,Tenesmo rectal,Contracción espasmódica del recto sin lograr eliminar heces; propio de la diarrea baja o colónica.,09a
orina_car,Disuria,"Micción con dolor, ardor o tenesmo; en cistitis, uretritis, prostatitis o pielonefritis.",10a
orina_car,Polaquiuria,Micciones repetidas sin aumento del volumen total; en infección urinaria baja o hipertrofia benigna de próstata.,10a
orina_car,Nicturia,"Aumento de las micciones nocturnas; por poliuria de cualquier causa, insuficiencia renal avanzada o insuficiencia cardíaca incipiente.",10a; 08a2
orina_car,Hematuria,"Sangre en la orina, visible o microscópica; nunca debe ignorarse y obliga a estudio urológico.",10a
orina_car,Coluria,"Orina oscura, color caoba, por bilirrubina conjugada; acompaña a la ictericia hepatocelular u obstructiva.",09a; 10a
orina_car,Oliguria,Menos de 400 mililitros de orina en 24 horas; por hipovolemia o por lesión renal.,10a
orina_car,Poliuria,"Más de 2000 mililitros de orina en 24 horas; por diabetes descompensada, diabetes insípida o diuréticos.",10a
orina_car,Anuria,Menos de 100 mililitros de orina en 24 horas; sugiere obstrucción bilateral de uréteres o de arterias renales.,10a
orina_car,Tenesmo vesical,"Sensación de vaciamiento insuficiente de la vejiga, con micción lenta y dolorosa por inflamación vesical intensa.",10a
orina_car,Incontinencia,"Eliminación involuntaria de orina; vejiga neurogénica, cistitis o prostatismo; más frecuente en multíparas.",10a
viv_material,Carrizo,Caña con que se levantan paredes y techos; en zona rural estas casas son reservorio de la enfermedad de Chagas.,02b
viv_servicios,Agua entubada no clorada,Agua que llega por tubería sin tratamiento con cloro; no es segura para beber sin hervir.,fuera de notas
viv_servicios,Letrina,Pozo para excretas sin conexión a la red de desagüe.,fuera de notas
viv_servicios,Cocina a leña o bosta,Cocina con leña o estiércol seco (bosta); expone al humo de biomasa dentro de la vivienda.,fuera de notas
animales,Perros,Sus heces con huevos de Echinococcus transmiten el quiste hidatídico; sin vacuna son el principal reservorio de la rabia.,MICROBIOLOGIA 2026/clases/76b_Echinococcus_granulosus_y_multilocularis.md; MICROBIOLOGIA 2026/clases/50a_Rabdovirus_y_rabia.md
animales,Gatos,Huésped definitivo de Toxoplasma gondii: los ooquistes de sus heces transmiten la toxoplasmosis.,MICROBIOLOGIA 2026/clases/73b_Babesia_y_Toxoplasma.md
animales,Vacunos,Reservorio de brucelosis (leche cruda o contacto) y de Fasciola hepatica; su carne mal cocida transmite Taenia saginata.,MICROBIOLOGIA 2026/clases/29b_Brucella_y_Francisella.md; MICROBIOLOGIA 2026/clases/75a_Trematodos_intestinales_hepaticos_y_pulmonares.md; MICROBIOLOGIA 2026/clases/76a_Taenia_solium_Taenia_saginata_y_cisticercosis.md
animales,Ovinos,Reservorio de Fasciola hepatica (berros contaminados) y de brucelosis; huésped intermediario del quiste hidatídico.,MICROBIOLOGIA 2026/clases/75a_Trematodos_intestinales_hepaticos_y_pulmonares.md; MICROBIOLOGIA 2026/clases/29b_Brucella_y_Francisella.md; MICROBIOLOGIA 2026/clases/76b_Echinococcus_granulosus_y_multilocularis.md
animales,Camélidos,"Alpacas y llamas; su pastoreo, como el de otro ganado, expone al quiste hidatídico.",09h
animales,Cuyes,"Cobayos criados en casa, a veces en la cocina; su crianza dentro de la vivienda favorece las zoonosis.",fuera de notas
animales,Aves de corral,Reservorio de Salmonella zoonótica: se adquiere por huevos o carne contaminados y causa gastroenteritis.,MICROBIOLOGIA 2026/clases/25c_Salmonella.md
animales,Cerdos,Su carne mal cocida transmite Taenia solium y los huevos de esta tenia causan cisticercosis; también reservorio de brucelosis.,MICROBIOLOGIA 2026/clases/76a_Taenia_solium_Taenia_saginata_y_cisticercosis.md; MICROBIOLOGIA 2026/clases/29b_Brucella_y_Francisella.md
actividad,Sedentario,Pasa la mayor parte del día sentado; se asocia a mayor incidencia de infarto de miocardio.,02b
actividad,Actividad física ligera,"Esfuerzo leve, como caminar despacio o tareas domésticas; casi no acelera la respiración.",fuera de notas
actividad,Actividad física moderada,"Esfuerzo que acelera la respiración pero permite conversar, como caminar rápido.",fuera de notas
actividad,Actividad física intensa,"Esfuerzo que impide conversar con fluidez, como correr o jugar fútbol.",fuera de notas
actividad,Trabajo físico pesado,Trabajo manual con carga o esfuerzo sostenido; se asocia a enfermedad degenerativa de la columna.,02b
tabaco,Exfumador,Fumó y dejó de hacerlo; anotar años de consumo y tiempo de abstinencia.,02b
alcohol,Consumo ocasional o social,"Bebe de forma esporádica, en reuniones o fiestas.",fuera de notas
alcohol,Consumo frecuente,Bebe varias veces por semana sin llegar a hacerlo a diario.,fuera de notas
alcohol,Exbebedor,"Bebía y dejó de hacerlo; anotar tipo de bebida, tiempo de consumo y tiempo de abstinencia.",02b
toxicos,Plaguicidas,Insecticidas y otros agroquímicos; se asocian a anemia aplásica y agravan el asma bronquial.,02a; 02b
toxicos,Humo de biomasa,Humo de leña o bosta al cocinar dentro de la vivienda; daña las vías respiratorias.,fuera de notas
toxicos,Polvo mineral o sílice,"Polvo inhalado en la minería; produce neumoconiosis y, a la larga, corazón pulmonar crónico.",02a; 08a
toxicos,Solventes,"Thinner, pinturas o pegamentos, por exposición laboral o inhalados como droga.",fuera de notas
toxicos,Radiación,Exposición laboral o médica a radiación; se asocia a leucemia.,02a
toxicos,Drogas ilícitas,"Opiáceos, cocaína o terokal (cola de zapatero); consumo creciente en adolescentes. Suele ocultarse.",02b
toxicos,Anabolizantes,"Hormonas usadas en gimnasios; causan dependencia y daño hepático, renal, cardíaco y endocrino.",02b
control_prenatal,Menos de 6 controles,Control prenatal insuficiente: la norma peruana considera controlada a la gestante con al menos 6 atenciones.,fuera de notas
control_prenatal,6 o más controles,Gestante controlada según la norma peruana.,fuera de notas
edad_gest,A término,Nacido entre las 37 y las 41 semanas completas de gestación.,fuera de notas
edad_gest,Pretérmino,Nacido antes de las 37 semanas de gestación (prematuro).,fuera de notas
edad_gest,Postérmino,Nacido a las 42 semanas de gestación o después.,fuera de notas
parto,Eutócico,"Parto vaginal espontáneo, sin complicaciones ni instrumentos.",fuera de notas
parto,Distócico,Parto vaginal con dificultad o complicación durante su evolución.,fuera de notas
parto,Fórceps,"Parto vaginal asistido con fórceps, instrumento que ayuda a extraer la cabeza fetal.",fuera de notas
parto_lugar,Domiciliario,"Parto atendido en casa, por lo general sin personal de salud.",fuera de notas
parto_lugar,Institucional,Parto atendido en un establecimiento de salud.,fuera de notas
hito,Retrasado,El hito se logró después de la edad esperada; es un dato del desarrollo psicomotor y neurológico.,02b
catamenial,Irregular,La duración del ciclo menstrual cambia de un mes a otro.,fuera de notas
catamenial,Dismenorrea,Menstruación dolorosa.,fuera de notas
catamenial,Con coágulos,Expulsión de coágulos con el sangrado menstrual; suele acompañar a la hipermenorrea.,fuera de notas
catamenial,Hipermenorrea,"Sangrado menstrual excesivo en cantidad, con ciclos de duración normal.",fuera de notas
catamenial,Hipomenorrea,Sangrado menstrual escaso en cantidad.,fuera de notas
anticonceptivo,Ampolla mensual,"Inyectable combinado de estrógeno y progestágeno, aplicado cada mes.",fuera de notas
anticonceptivo,Ampolla trimestral,"Inyectable solo de progestágeno (medroxiprogesterona de depósito), aplicado cada tres meses.",fuera de notas
anticonceptivo,Píldora,Anticonceptivo oral; junto con el tabaco predispone a hipertensión arterial y a enfermedad tromboembólica.,08a2
anticonceptivo,DIU,"Dispositivo intrauterino, por ejemplo de cobre, colocado dentro del útero.",fuera de notas
anticonceptivo,Implante,Barra flexible con progestágeno colocada bajo la piel del brazo; dura varios años.,fuera de notas
inmunizaciones,Esquema completo,"Todas las vacunas del calendario nacional para su edad, verificadas en el carné.",fuera de notas
inmunizaciones,BCG,Vacuna del bacilo de Calmette-Guérin contra la tuberculosis; puede volver positiva la prueba de tuberculina.,07g
inmunizaciones,Antitetánica,Toxoide tetánico; se aplica en gestantes y después de heridas con riesgo de tétanos.,fuera de notas
inmunizaciones,Neumococo,"Vacuna antineumocócica, indicada en niños, adultos mayores y enfermos crónicos.",fuera de notas
inmunizaciones,COVID-19,Vacuna contra la enfermedad por coronavirus 2019.,fuera de notas
dm_dx,Tipo 1,Destrucción de las células beta con déficit grave o absoluto de insulina; mayor riesgo de cetoacidosis.,FARMACOLOGIA 2026/clases/41a_Insulina_glucagon_diabetes_mellitus.md
dm_dx,Tipo 2,"Resistencia a la insulina con déficit relativo de su secreción, sin perder toda la reserva de células beta.",FARMACOLOGIA 2026/clases/41a_Insulina_glucagon_diabetes_mellitus.md
dm_dx,Gestacional previa,Alteración de la glucosa detectada por primera vez durante un embarazo anterior.,FARMACOLOGIA 2026/clases/41a_Insulina_glucagon_diabetes_mellitus.md
patologias,Úlcera péptica,"Más frecuente en varones y en trabajadores intelectuales, por mayor secreción de ácido clorhídrico; puede sangrar y dar melena.",09h
patologias,Litiasis renal,Cálculos en las vías urinarias; se manifiesta con cólico renal y hematuria.,10a
patologias,Litiasis biliar,Cálculos en la vesícula (colelitiasis); predomina en la mujer y puede complicarse hacia el páncreas.,09h
patologias,Artrosis,"Enfermedad degenerativa de las articulaciones, propia del anciano (osteoartrosis).",02a
patologias,Gota,Artritis por depósito de cristales de ácido úrico.,fuera de notas
patologias,Osteoporosis,Pérdida de masa ósea con fragilidad y riesgo de fracturas.,fuera de notas
patologias,Hipotiroidismo,"Déficit de hormona tiroidea con metabolismo enlentecido: cansancio, intolerancia al frío, aumento de peso, piel seca y bradicardia.",13a
