campo_id,seccion,orden,label,tipo,obligatorio,lista_id,valor_normal,reglas,ayuda_kb,plantilla,subtitulo
efg.estado_general,ectoscopia,10,Paciente en estado general,opcion,si,estado,Bueno,,kb.ectoscopia,ochoa,
ect.edad_aparente,ectoscopia,20,Edad aparente,opcion,,ecto_edad_aparente,Aparenta la edad que refiere,,kb.ectoscopia,ochoa,
ect.signos_destacados,ectoscopia,30,Signos destacados,multi,,ecto_signos,Ninguno,"solo_datos_positivos,escalas:conciencia|deshidratacion",kb.ectoscopia,ochoa,
fil.informante,filiacion,10,Tipo de anamnesis,opcion,si,informante,,,kb.relato,ochoa,Anamnesis
fil.apellidos,filiacion,20,Apellidos,texto,si,,,,kb.filiacion,ochoa,
fil.nombres,filiacion,30,Nombres,texto,si,,,,kb.filiacion,ochoa,
fil.edad,filiacion,40,Edad (años),numero,si,,,,kb.filiacion,ochoa,
fil.raza,filiacion,50,Raza,opcion,,raza,,,kb.filiacion,ochoa,
fil.sexo,filiacion,60,Sexo,opcion,si,sexo,,,kb.filiacion,ochoa,
fil.lugar_nacimiento,filiacion,70,Lugar de nacimiento,texto,,,,,kb.filiacion,ochoa,
fil.fecha_nacimiento,filiacion,80,Fecha de nacimiento,fecha,,,,,,ochoa,
fil.lugar_procedencia,filiacion,90,Lugar de procedencia,texto,,,,,kb.filiacion,ochoa,
fil.idioma,filiacion,100,Idioma,multi,,idioma,,,,ochoa,
fil.direccion,filiacion,110,Domicilio actual,texto,,,,,kb.filiacion,ochoa,
apn.residencias_anteriores,filiacion,120,Domicilio anterior,texto,,,,,kb.filiacion,ochoa,
fil.grado_instruccion,filiacion,130,Grado de instrucción,opcion,,grado_instruccion,,,kb.filiacion,ochoa,
fil.estado_civil,filiacion,140,Estado civil,opcion,,estado_civil,,,kb.filiacion,ochoa,
fil.ocupacion,filiacion,150,Ocupación actual,opcion_otro,,ocupacion,,,kb.filiacion,ochoa,
apn.ocupaciones_anteriores,filiacion,160,Ocupación anterior,opcion_otro,,ocupacion,,,kb.personales,ochoa,
fil.religion,filiacion,170,Religión,opcion,,religion,,,kb.filiacion,ochoa,
fil.fecha_ingreso,filiacion,180,Fecha de ingreso,fecha,si,,,con_hora,kb.filiacion,ochoa,
fil.modo_ingreso,filiacion,190,Modo de ingreso,opcion,,modo_ingreso,,,,ochoa,
fil.sala,filiacion,200,Sala,opcion_otro,,sala,,,,ochoa,
fil.numero_cama,filiacion,210,Número de cama,texto,,,,,,ochoa,
fil.persona_responsable,filiacion,220,Persona responsable,texto,,,,,,ochoa,
fil.informante_vinculo,filiacion,230,Informante,opcion_otro,,informante_vinculo,,,kb.filiacion,ochoa,
fil.informante_confiable,filiacion,240,Informante confiable,opcion,,confiable,,,kb.filiacion,ochoa,
fil.fecha_elaboracion,filiacion,250,Fecha de elaboración de la historia clínica,fecha,si,,,con_hora,,ochoa,
fil.elaborado_por,filiacion,260,Persona responsable de elaborar la historia clínica,texto,si,,,,,ochoa,
ea.tiempo_valor,enfermedad_actual,10,Tiempo de enfermedad,numero,si,,,,kb.relato,ochoa,
ea.tiempo_unidad,enfermedad_actual,20,Unidad de tiempo,opcion,si,unidad_tiempo,,,kb.relato,ochoa,
ea.episodio_actual,enfermedad_actual,30,Episodio actual,opcion,si,episodio_actual,,,kb.relato,ochoa,
ea.forma_inicio,enfermedad_actual,40,Forma de inicio,opcion,si,forma_inicio,,,kb.relato,ochoa,
ea.curso,enfermedad_actual,50,Curso de la enfermedad,opcion,si,curso,,,kb.relato,ochoa,
ea.signos_sintomas,enfermedad_actual,60,Síntomas principales,lista,si,sintoma,,"termino_caracterizacion,terminos_medicos,max_3",kb.sintomas,ochoa,
ea.relato_cronologico,enfermedad_actual,70,Relato cronológico,narrativa,si,f_relato,,"tercera_persona,terminos_medicos,orden_cronologico,hilo_sintoma_guia,constructor_sintoma,escalas:eva|nyha|mmrc|bristol|ecog",kb.relato,ochoa,
ea.sintoma_guia,enfermedad_actual,80,Síntoma guía,opcion_otro,si,sintoma,,,kb.sintomas,ochoa,
fb.apetito,funciones_biologicas,10,Apetito,opcion,,apetito,Conservado,,kb.funciones,ochoa,
fb.sed,funciones_biologicas,20,Sed,opcion,,sed,Conservada,,kb.funciones,ochoa,
fb.orina_color,funciones_biologicas,30,Color,opcion,,orina_color,Amarillo pálido a ámbar,,kb.sintomas,ochoa,Orina
fb.orina_vol,funciones_biologicas,40,Volumen,opcion_otro,,orina_volumen,Diuresis normal,,kb.sintomas,ochoa,Orina
fb.orina_frec,funciones_biologicas,50,Frecuencia,opcion,,orina_frecuencia,Conservada,,kb.sintomas,ochoa,Orina
fb.orina_ritmo,funciones_biologicas,60,Ritmo,opcion,,orina_ritmo,Predominio diurno,,kb.sintomas,ochoa,Orina
fb.heces_color,funciones_biologicas,70,Color,opcion,,heces_color,Marrón,,kb.sintomas,ochoa,Deposiciones
fb.heces_bristol,funciones_biologicas,80,Consistencia,escala,,bristol,4,,kb.sintomas,ochoa,Deposiciones
fb.heces_frec,funciones_biologicas,90,Frecuencia (deposiciones por día),numero,,,1,,kb.funciones,ochoa,Deposiciones
fb.heces_ritmo,funciones_biologicas,100,Ritmo,opcion,,heces_ritmo,Conservado,,kb.sintomas,ochoa,Deposiciones
fb.sueno,funciones_biologicas,110,Sueño,opcion,,sueno,Conservado,,kb.funciones,ochoa,
fb.sudoracion,funciones_biologicas,120,Sudoración,opcion,,sudoracion,Conservada,,kb.funciones,ochoa,
fb.peso_var,funciones_biologicas,130,Variación de peso,opcion,,peso_var,Sin variación,,kb.funciones,ochoa,
