campo_id,seccion,orden,label,tipo,obligatorio,lista_id,valor_normal,reglas,ayuda_kb
ect.ectoscopia,ectoscopia,10,Ectoscopía,narrativa,si,f_ectoscopia,n,"tercera_persona,terminos_medicos,escalas:conciencia|deshidratacion|cruces",kb.ectoscopia
fil.apellidos,filiacion,10,Apellidos,texto,si,,,,
fil.nombres,filiacion,20,Nombres,texto,si,,,,
fil.dni,filiacion,30,DNI,texto,si,,,,
fil.edad,filiacion,40,Edad,numero,si,,,,
fil.sexo,filiacion,50,Sexo,opcion,si,sexo,,,
fil.raza,filiacion,60,Raza,opcion,no,raza,,,
fil.lugar_nacimiento,filiacion,70,Lugar de nacimiento,texto,no,,,,
fil.fecha_nacimiento,filiacion,80,Fecha de nacimiento,fecha,no,,,,
fil.lugar_procedencia,filiacion,90,Lugar de procedencia,texto,no,,,,
fil.direccion,filiacion,100,Dirección,texto,no,,,,
fil.nacionalidad,filiacion,110,Nacionalidad,opcion,no,nacionalidad,,,
fil.estado_civil,filiacion,120,Estado civil,opcion,no,estado_civil,,,
fil.grado_instruccion,filiacion,130,Grado de instrucción,opcion,no,grado_instruccion,,,
fil.ocupacion,filiacion,140,Ocupación,opcion_otro,no,ocupacion,,,
fil.idioma,filiacion,150,Idioma,multi,no,idioma,,,
fil.religion,filiacion,160,Religión,opcion,no,religion,,,
fil.informante,filiacion,170,Informante,opcion,si,informante,,,
fil.persona_responsable,filiacion,180,Persona responsable,texto,no,,,,
fil.celular_responsable,filiacion,190,Celular del responsable,texto,no,,,,
fil.fecha_ingreso,filiacion,200,Fecha de ingreso,fecha,si,,,con_hora,
fil.fecha_elaboracion,filiacion,210,Fecha de elaboración,fecha,si,,,con_hora,
fil.elaborado_por,filiacion,220,Elaborado por,texto,si,,,,
ea.tiempo_valor,enfermedad_actual,10,Tiempo de enfermedad,numero,si,,,,
ea.tiempo_unidad,enfermedad_actual,20,Unidad,opcion,si,unidad_tiempo,,,
ea.forma_inicio,enfermedad_actual,30,Forma de inicio,opcion,si,forma_inicio,,,
ea.curso,enfermedad_actual,40,Curso,opcion,si,curso,,,
ea.signos_sintomas,enfermedad_actual,50,Signos y síntomas principales,lista,si,,,"palabras_paciente,max_3",
ea.sintoma_guia,enfermedad_actual,60,Síntoma guía,opcion_otro,si,sintoma,,,
ea.relato_cronologico,enfermedad_actual,70,Relato cronológico,narrativa,si,f_relato,,"tercera_persona,terminos_medicos,orden_cronologico,hilo_sintoma_guia,constructor_sintoma,escalas:eva|nyha|mmrc|bristol|ecog",kb.relato
fb.apetito,funciones_biologicas,10,Apetito,opcion,no,apetito,,,
fb.sed,funciones_biologicas,20,Sed,opcion,no,sed,,,
fb.sueno,funciones_biologicas,30,Sueño,opcion,no,sueno,,,
fb.heces_frec,funciones_biologicas,40,Deposiciones por día,numero,no,,,,
fb.heces_bristol,funciones_biologicas,50,Consistencia (Bristol),escala,no,bristol,,,
fb.heces_car,funciones_biologicas,60,Características de las heces,multi,no,heces_car,,,
fb.orina_vol,funciones_biologicas,70,Volumen urinario aproximado en 24 h,texto,no,,,,
fb.orina_car,funciones_biologicas,80,Características de la orina,multi,no,orina_car,,,
fb.peso_var,funciones_biologicas,90,Variación de peso,opcion,no,peso_var,,,
fb.peso_kg,funciones_biologicas,100,Kilos y tiempo,texto,no,,,,
apn.vivienda_material,ant_personales,10,Material de la vivienda,multi,no,viv_material,,,
apn.vivienda_servicios,ant_personales,20,Servicios básicos,multi,no,viv_servicios,,,
apn.habitaciones_habitantes,ant_personales,30,Habitaciones y habitantes,texto,no,,,,
apn.crianza_animales,ant_personales,40,Crianza de animales,multi,no,animales,,,
apn.residencias_anteriores,ant_personales,50,Residencias anteriores y viajes,texto_largo,no,,,,
apn.alimentacion_menu,ant_personales,60,Menú habitual,texto_largo,no,,,,
apn.nutriente_predominante,ant_personales,70,Nutriente predominante,opcion,no,nutriente,,,
apn.intolerancia,ant_personales,80,Intolerancia alimentaria,texto,no,,,,
apn.vestimenta,ant_personales,90,Vestimenta,opcion,no,vestimenta,,,
apn.higiene,ant_personales,100,Higiene,opcion,no,higiene,,,
apn.deporte,ant_personales,110,Deporte y actividad física,opcion,no,actividad,,,
apn.tabaco,ant_personales,120,Tabaco,opcion,no,tabaco,,,
apn.tabaco_detalle,ant_personales,130,Cigarrillos por día y años,texto,no,,,,
apn.alcohol,ant_personales,140,Alcohol,opcion,no,alcohol,,,
apn.alcohol_detalle,ant_personales,150,"Tipo, cantidad y tiempo",texto,no,,,,
apn.cafe_mate_te,ant_personales,160,"Café, mate y té",multi,no,bebidas,,,
apn.toxicos,ant_personales,170,Tóxicos y exposiciones,multi,no,toxicos,,,
afi.prenatales_patologias,ant_fisiologicos,10,Patologías en la gestación,texto,no,,,,
afi.prenatales_control,ant_fisiologicos,20,Control prenatal,opcion,no,control_prenatal,,,
afi.edad_gestacional,ant_fisiologicos,30,Edad gestacional,opcion,no,edad_gest,,,
afi.parto,ant_fisiologicos,40,Tipo de parto,opcion,no,parto,,,
afi.parto_lugar,ant_fisiologicos,50,Lugar del parto,opcion,no,parto_lugar,,,
afi.lactancia_ablactancia,ant_fisiologicos,60,Lactancia y ablactancia,texto,no,,,,
afi.primeros_pasos,ant_fisiologicos,70,Primeros pasos,opcion,no,hito,,,
afi.denticion,ant_fisiologicos,80,Dentición,opcion,no,hito,,,
afi.primeras_palabras,ant_fisiologicos,90,Primeras palabras,opcion,no,hito,,,
afi.control_esfinteres,ant_fisiologicos,100,Control de esfínteres,opcion,no,hito,,,
afi.vida_sexual_inicio,ant_fisiologicos,110,Inicio de vida sexual,numero,no,,,,
afi.vida_sexual_riesgo,ant_fisiologicos,120,Hábitos de riesgo y número de parejas,texto,no,,,,
afi.menarquia,ant_fisiologicos,130,Menarquia,numero,no,,,,
afi.regimen_catamenial,ant_fisiologicos,140,Régimen catamenial (días/ciclo),texto,no,,,,
afi.caracteristicas_catamenial,ant_fisiologicos,150,Características del catamenial,multi,no,catamenial,,,
afi.fur,ant_fisiologicos,160,Fecha de última regla,fecha,no,,,,
afi.fup,ant_fisiologicos,170,Fecha de último parto,fecha,no,,,,
afi.formula_obstetrica,ant_fisiologicos,180,Fórmula obstétrica (gestaciones y partos),texto,no,,,,
afi.anticonceptivos,ant_fisiologicos,190,Anticonceptivos,opcion,no,anticonceptivo,,,
afi.menopausia,ant_fisiologicos,200,Menopausia,opcion,no,si_no_nr,,,
afi.papanicolau,ant_fisiologicos,210,Último Papanicolau,opcion,no,papanicolau,,,
afi.inmunizaciones,ant_fisiologicos,220,Inmunizaciones,multi,no,inmunizaciones,,,
afi.alergias,ant_fisiologicos,230,Alergias,opcion_otro,si,si_no_nr,,,
afi.transfusiones,ant_fisiologicos,240,Transfusiones,opcion_otro,no,si_no_nr,,,
apa.hta,ant_patologicos,10,Hipertensión arterial,opcion,no,hta_dx,,,
apa.hta_detalle,ant_patologicos,20,"Año, cifras y tratamiento",texto,no,,,,
