parametro,examen,sinonimos,unidad,sexo,grupo,min,max,bajo,nivel_bajo,alto,nivel_alto,alto2_desde,alto2,nivel_alto2,bajo2_hasta,bajo2,nivel_bajo2,fuente
Hemoglobina,hemograma,hb|hgb|hemoglobina|hemoglobina total|hb total,g/dl,M,,13,17,Anemia,1,Poliglobulia,1,21,Eritrocitosis excesiva de altura,2,7,Anemia marcada,3,BIOQUIMICA 2026/entities/estructuras/Hemoglobina.md; 05f; FISIOPATOLOGIA 2026/entities/enfermedades/Eritrosis-Patologica-de-la-Altura.md
Hemoglobina,hemograma,hb|hgb|hemoglobina|hemoglobina total|hb total,g/dl,F,,12,16,Anemia,1,Poliglobulia,1,19,Eritrocitosis excesiva de altura,2,7,Anemia marcada,3,BIOQUIMICA 2026/entities/estructuras/Hemoglobina.md; 05f; FISIOPATOLOGIA 2026/entities/enfermedades/Eritrosis-Patologica-de-la-Altura.md
Hematocrito,hemograma,hto|hct|ht|hematocrito,%,,,40,50,Hematocrito disminuido,1,Hematocrito elevado,1,60,Eritrocitosis excesiva,2,,,,FISIOPATOLOGIA 2026/clases/Clase_26_INSUFICIENCIA_RENAL_CRONICA.md; FISIOPATOLOGIA 2026/entities/enfermedades/Eritrosis-Patologica-de-la-Altura.md; FISIOPATOLOGIA 2026/clases/Clase_33_COR_PULMONALE_CRONICO.md
Leucocitos,hemograma,leucocitos|wbc|leucocitos totales|globulos blancos|gb|leu|recuento de leucocitos|recuento leucocitario,por microlitro,,,4500,11000,Leucopenia,1,Leucocitosis,1,15000,Leucocitosis marcada,2,,,,FISIOPATOLOGIA 2026/concepts/Leucocitos.md; 09f
Neutrófilos,hemograma,neutrofilos|neutrofilos %|neu %|neu%|ne%|neut %|pmn|polimorfonucleares|segmentados|neutrofilos segmentados,% de los leucocitos,,,55,70,Neutropenia relativa,1,Neutrofilia,1,80,Neutrofilia marcada,2,,,,fuera de notas; 09f
Recuento absoluto de neutrófilos,hemograma,neutrofilos absolutos|recuento absoluto de neutrofilos|neu#|ne#|neut#|anc|ran,por microlitro,,,1500,,Neutropenia,2,,,,,,500,Neutropenia grave,3,FISIOLOGIA 2026/conceptos/Leucopenia.md; MICROBIOLOGIA 2026/clases/65c_Aspergilosis.md
Plaquetas,hemograma,plaquetas|plt|plq|pqt|recuento de plaquetas|trombocitos,por microlitro,,,150000,400000,Trombocitopenia,1,Trombocitosis,1,,,,20000,Trombocitopenia con riesgo de sangrado espontáneo,3,FISIOLOGIA 2026/conceptos/Plaquetas.md; FISIOLOGIA 2026/conceptos/Trombocitopenia.md
Volumen corpuscular medio,hemograma,vcm|mcv|volumen corpuscular medio,fl,,,80,100,Microcitosis,1,Macrocitosis,1,,,,,,,FISIOLOGIA 2026/conceptos/Anemia.md
Hemoglobina corpuscular media,hemograma,hcm|mch|hemoglobina corpuscular media,pg,,,27,,Hipocromía,1,,,,,,,,,FISIOLOGIA 2026/conceptos/Anemia-Microcitica-Hipocromica.md
Concentración de hemoglobina corpuscular media,hemograma,chcm|mchc|concentracion de hemoglobina corpuscular media,g/dl,,,32,,Hipocromía,1,,,,,,,,,FISIOLOGIA 2026/conceptos/Anemia-Microcitica-Hipocromica.md
Glucosa en ayunas,glucosa,glucosa|glu|glicemia|glucemia|glucosa basal|glucosa en ayunas|glicemia en ayunas|glucemia en ayunas|glucosa serica|glucosa plasmatica,mg/dl,,,70,100,Hipoglicemia,2,Glucosa alterada en ayunas,1,126,Compatible con diabetes,2,50,Hipoglicemia grave,3,BIOQUIMICA 2026/entities/estructuras/Glucosa.md; FISIOPATOLOGIA 2026/entities/enfermedades/Hipoglicemia.md; 05b; FARMACOLOGIA 2026/clases/41a_Insulina_glucagon_diabetes_mellitus.md
Glucosa a las 2 horas de la carga oral,glucosa,glucosa 2 horas|glucosa a las 2 horas|ptog|ttog|glucosa postcarga|glucosa 120 minutos|tolerancia oral a la glucosa,mg/dl,,,70,139,Hipoglicemia,2,Tolerancia a la glucosa alterada,1,200,Compatible con diabetes,2,,,,FARMACOLOGIA 2026/clases/41a_Insulina_glucagon_diabetes_mellitus.md; BIOQUIMICA 2026/entities/estructuras/Glucosa.md; FISIOPATOLOGIA 2026/entities/enfermedades/Hipoglicemia.md
Hemoglobina glicosilada,glucosa,hba1c|a1c|hb a1c|hgba1c|hemoglobina a1c|hemoglobina glicosilada|hemoglobina glucosilada|hemoglobina glicada,%,,,,5.6,,,Prediabetes,1,6.5,Compatible con diabetes,2,,,,FARMACOLOGIA 2026/clases/41a_Insulina_glucagon_diabetes_mellitus.md; BIOQUIMICA 2026/entities/estructuras/Glucosa.md
Creatinina,renal,crea|creat|cr|creatinina|creatinina serica|creatinina en sangre,mg/dl,,,0.6,1.4,Creatinina disminuida,1,Creatinina elevada,2,4,Compatible con insuficiencia renal aguda grave,3,,,,10b; FISIOPATOLOGIA 2026/concepts/Creatinina.md
Urea,renal,urea|urea serica|urea sanguinea|urea en sangre,mg/dl,,,15,45,Urea disminuida,1,Hiperazotemia,1,100,Hiperazotemia moderada a grave,2,,,,10b; FISIOPATOLOGIA 2026/concepts/Urea.md
Nitrógeno ureico en sangre,renal,bun|nus|nitrogeno ureico|nitrogeno ureico en sangre|nitrogeno de urea,mg/dl,,,7,20,Nitrógeno ureico disminuido,1,Hiperazotemia,1,,,,,,,FISIOPATOLOGIA 2026/concepts/Urea.md
Depuración de creatinina,renal,depuracion de creatinina|clearance de creatinina|aclaramiento de creatinina|depuracion de creatinina en 24 horas|clcr|dcr,ml/min,M,,97,137,Depuración de creatinina disminuida,1,Depuración de creatinina aumentada,1,,,,60,Compatible con insuficiencia renal crónica,2,10b; 10c
Depuración de creatinina,renal,depuracion de creatinina|clearance de creatinina|aclaramiento de creatinina|depuracion de creatinina en 24 horas|clcr|dcr,ml/min,F,,88,128,Depuración de creatinina disminuida,1,Depuración de creatinina aumentada,1,,,,60,Compatible con insuficiencia renal crónica,2,10b; 10c
